scope,family,model,n_pairs,mean_rel_naive_delta,median_rel_naive_delta,win_rate_rel_naive,mean_mase_delta,median_mase_delta,win_rate_mase,mean_mae_delta,median_mae_delta,win_rate_mae,mean_pocid_delta,median_pocid_delta,win_rate_pocid
combined_quarterly|seasonality_evolution|High,statistical,auto_arima,404,0.0010558528491707013,-0.023783672276154064,0.43316831683168316,0.00015641486183475448,-0.01780834920223362,0.43316831683168316,3.640706110749755,-5.346991088893759,0.43316831683168316,0.055693069306930694,0.0,0.31683168316831684
combined_quarterly|seasonality_evolution|High,statistical,auto_ets,404,-0.08368576028319658,-0.04533982270475195,0.3465346534653465,-0.060698306035038896,-0.03599354003709626,0.3465346534653465,-15.770137641006656,-8.659585813389299,0.3465346534653465,0.07301980198019802,0.0,0.3415841584158416
combined_quarterly|seasonality_evolution|High,statistical,auto_sarima,404,-0.2587027581672108,-0.08723357799762965,0.37623762376237624,-0.2029738995037939,-0.05904134362406379,0.37623762376237624,-48.24412397448021,-17.15387298116923,0.37623762376237624,0.01608910891089109,0.0,0.25742574257425743
combined_quarterly|seasonality_evolution|High,transformer,auto_patchtst,404,-0.049064384014726084,-0.010877791375260015,0.4306930693069307,-0.001962281269854415,-0.012626815720591544,0.4306930693069307,-1.824602781872072,-3.517972911433617,0.4306930693069307,-0.007116336633663367,0.0,0.37623762376237624
combined_quarterly|seasonality_evolution|High,transformer,auto_tft,404,0.3640654220508384,0.05456515698023612,0.5668316831683168,0.20147755965007724,0.05352819919993712,0.5668316831683168,61.53210160412928,12.179748611282662,0.5668316831683168,-0.04764851485148515,0.0,0.2524752475247525
combined_quarterly|seasonality_evolution|Low,mlforecast,auto_lr,376,0.13969321342202895,0.10249318644978611,0.6622340425531915,0.32818418330319116,0.10386099226057069,0.6622340425531915,64.18579916604953,30.917627135946134,0.6622340425531915,0.05751329787234043,0.125,0.5053191489361702
combined_quarterly|seasonality_evolution|Low,mlforecast,auto_rf,376,0.06660413490214319,0.09452935722125744,0.6170212765957447,0.2702011807288229,0.08976850266235537,0.6170212765957447,82.14219411164345,22.540760044919608,0.6170212765957447,0.14095744680851063,0.125,0.6462765957446809
combined_quarterly|seasonality_evolution|Low,mlforecast,auto_ridge,376,0.13511863079660374,0.10279609357079504,0.6542553191489362,0.32467440698397526,0.10394929820869814,0.6542553191489362,64.79173781953332,30.82132082796184,0.6542553191489362,0.052194148936170214,0.0,0.48404255319148937
combined_quarterly|seasonality_evolution|Low,mlforecast,auto_xgb,376,0.0363632620143808,0.0956590902129692,0.601063829787234,0.21577415685838885,0.07963533722315536,0.601063829787234,68.36776298315846,24.125633304367227,0.601063829787234,0.13663563829787234,0.125,0.6382978723404256
combined_quarterly|seasonality_evolution|Low,neuralforecast,auto_lstm,376,0.061681998712361255,0.06838853567397696,0.5930851063829787,0.23643168827165856,0.06847039391452209,0.5930851063829787,27.08618615450401,14.442955805808822,0.5930851063829787,0.06382978723404255,0.125,0.5026595744680851
combined_quarterly|seasonality_evolution|Low,neuralforecast,auto_nhits,376,0.026437178222140294,0.013377340252740677,0.523936170212766,0.020325113439859474,0.011017639920795907,0.523936170212766,17.617781480859655,2.10159907892033,0.523936170212766,-0.018617021276595744,0.0,0.22340425531914893
combined_quarterly|seasonality_evolution|Low,neuralforecast,auto_nlinear,376,0.07375117028907327,0.11859916880081173,0.625,0.609769788077665,0.09612131626835002,0.625,175.43640786332531,17.01285761437957,0.625,0.2576462765957447,0.25,0.6569148936170213
combined_quarterly|seasonality_evolution|Low,statistical,auto_arima,376,0.05912767938070428,0.01924177751701757,0.5452127659574468,0.195405278542829,0.0215245733841309,0.5452127659574468,45.34137436689603,4.2744302268182395,0.5452127659574468,0.22672872340425532,0.25,0.6063829787234043
combined_quarterly|seasonality_evolution|Low,statistical,auto_ets,376,-0.041190710808767496,-0.020453120038377626,0.44148936170212766,-0.06562491420064402,-0.023352206566660316,0.44148936170212766,-43.32074555803546,-4.313067665857915,0.44148936170212766,0.1466090425531915,0.0,0.42819148936170215
combined_quarterly|seasonality_evolution|Low,statistical,auto_sarima,376,-0.10551919570330248,-0.034494859731514074,0.4122340425531915,-0.12442090804717948,-0.0338643612756222,0.4122340425531915,-37.98405701896368,-11.512762828492825,0.4122340425531915,0.09940159574468085,0.0,0.3617021276595745
combined_quarterly|seasonality_evolution|Low,transformer,auto_patchtst,376,0.07469811358645434,0.07341747854077113,0.598404255319149,0.4566115286830713,0.06477832748225615,0.598404255319149,125.04260825321892,20.788202783055794,0.598404255319149,0.14261968085106383,0.125,0.6196808510638298
combined_quarterly|seasonality_evolution|Low,transformer,auto_tft,376,0.07494363611290071,0.039278568728406876,0.5531914893617021,0.15418222467672965,0.04033733254367755,0.5531914893617021,44.55433259309069,9.014382275308492,0.5531914893617021,0.03756648936170213,0.0,0.40691489361702127
combined_quarterly|seasonality_evolution|Medium,mlforecast,auto_lr,402,0.210387750548421,0.1177091082213023,0.6616915422885572,0.1743004890509262,0.12054624132696351,0.6616915422885572,42.36568379506962,31.717323242424172,0.6616915422885572,0.04788557213930348,0.0,0.44776119402985076
combined_quarterly|seasonality_evolution|Medium,mlforecast,auto_rf,402,0.07163614373670808,0.049630583915604876,0.5696517412935324,0.09798550266864775,0.03811516099428652,0.5696517412935324,39.593714688814735,12.190225607114087,0.5696517412935324,0.11100746268656717,0.125,0.6144278606965174
