week4_group,dataset,frequency,family,variant,model,n_series,rel_naive,median_rel_naive,mase,median_mase,mae,median_mae,pocid,median_pocid
combined_quarterly,M4,Quarterly,neuralforecast,without_mstl,auto_nlinear,500,1.002502657561431,0.9524096003954944,1.1323527077829478,0.8257893321853559,600.9122835075393,277.6724853515625,0.4836744639376218,0.5
combined_quarterly,M4,Quarterly,neuralforecast,with_mstl,auto_nlinear,500,1.0027555269858195,0.8835731485952607,0.92207237382157,0.8038396448518986,533.0051878965442,243.32864025642448,0.6062378167641326,0.625
combined_quarterly,M4,Quarterly,transformer,with_mstl,auto_patchtst,500,1.0028536665710677,0.9946354927632123,0.9005030660043494,0.8538475300245729,540.0493868312036,276.6950160284109,0.5877192982456141,0.625
combined_quarterly,M3,Quarterly,transformer,with_mstl,auto_patchtst,500,1.0039396925456996,0.9646543161374609,0.9355592622092584,0.8234175957354818,545.0287533436525,327.2753305160037,0.6374269005847953,0.625
combined_quarterly,M4,Quarterly,statistical,with_mstl,auto_ets,500,1.00872959013507,0.9187734887452896,0.9300512925140499,0.7962653655277108,505.9495733364706,247.9619477174909,0.6371832358674464,0.625
combined_quarterly,M3,Quarterly,neuralforecast,with_mstl,auto_nlinear,500,1.0144902271913732,0.8927121348579269,0.9225165165434811,0.8060095900228961,549.0119157149003,315.34311871251333,0.64546783625731,0.625
combined_quarterly,M3,Quarterly,neuralforecast,without_mstl,auto_nlinear,500,1.0402746218895718,0.9669694931408827,1.2257855805121147,0.8767889401536625,632.9333530076531,369.0635986328125,0.44005847953216376,0.5
combined_quarterly,M3,Quarterly,transformer,with_mstl,auto_tft,500,1.0478917588291872,0.7951643149341497,0.9179923647587351,0.7430687184729432,520.5513342919467,310.4814005421073,0.669103313840156,0.625
combined_quarterly,M4,Quarterly,transformer,without_mstl,auto_patchtst,500,1.0519249396928467,0.9861218479833208,1.0991555371137753,0.8559870885140645,560.0678019542156,287.0244140625,0.5163255360623782,0.5
combined_quarterly,M4,Quarterly,mlforecast,with_mstl,auto_xgb,500,1.0524764244866704,0.9579847671761829,0.9618381510714153,0.8430774350835811,535.6613950942784,258.57272480105905,0.6057504873294347,0.625
combined_quarterly,M4,Quarterly,statistical,without_mstl,auto_sarima,500,1.0588519942090622,0.8929135034317133,0.9492830842179657,0.7655684274384553,515.8898086256733,233.98139489869146,0.6001461988304093,0.625
combined_quarterly,M4,Quarterly,statistical,with_mstl,auto_arima,500,1.065888158158772,0.8839466851126059,0.9744041343264352,0.8005455712559925,539.9918653430648,234.6607674252416,0.6471734892787524,0.625
combined_quarterly,M3,Quarterly,mlforecast,with_mstl,auto_rf,500,1.0805776541853833,0.8711593654688272,0.97922809622387,0.802689303565029,520.0598440158267,308.742600496902,0.6544834307992202,0.625
combined_quarterly,M4,Quarterly,statistical,without_mstl,auto_arima,500,1.08814077363703,0.9661051770723559,1.0353043731454585,0.8158666277216962,549.0909852937073,246.38731644704376,0.5397173489278753,0.625
combined_quarterly,M4,Quarterly,mlforecast,with_mstl,auto_rf,500,1.094831403026038,0.9510097631137189,0.992246659483928,0.8529775847386025,538.6024719362089,270.9255750339159,0.5994152046783626,0.625
combined_quarterly,M4,Quarterly,mlforecast,without_mstl,auto_xgb,500,1.1129795205031288,0.980923437460804,1.075813080736908,0.8422770682558939,560.8628801211308,270.52303466796866,0.4566276803118908,0.5
combined_quarterly,M4,Quarterly,mlforecast,without_mstl,auto_rf,500,1.1297736782339596,0.978872284815669,1.1005894696469023,0.8682976140482147,580.3949718134531,274.82352361699617,0.46588693957115007,0.5
combined_quarterly,M4,Quarterly,neuralforecast,with_mstl,auto_lstm,500,1.1348968570766278,0.958768857445645,0.9786151780950441,0.9011368928414386,588.4864723279053,271.0954600400137,0.6118421052631579,0.625
combined_quarterly,M4,Quarterly,mlforecast,with_mstl,auto_lr,500,1.1504793870060654,0.8721549192066401,1.049156554042466,0.8068995355200741,516.0206502427626,243.05884181161312,0.6313352826510721,0.625
combined_quarterly,M4,Quarterly,mlforecast,with_mstl,auto_ridge,500,1.1504905141669228,0.8722283466241183,1.0491629730190315,0.8069172267067657,516.0218886952586,243.06164446696945,0.6313352826510721,0.625
combined_quarterly,M3,Quarterly,mlforecast,with_mstl,auto_xgb,500,1.1515718880785895,0.9096591755141118,1.0301889294418178,0.826637134615434,533.2438878085273,315.12585507653455,0.6596003898635477,0.625
combined_quarterly,M3,Quarterly,mlforecast,without_mstl,auto_rf,500,1.1719406611921004,0.9520707784777857,1.1374999216309938,0.8922606915129436,574.882043413242,370.4198504287665,0.5772417153996101,0.625
combined_quarterly,M3,Quarterly,statistical,without_mstl,auto_ets,500,1.1816161800580574,0.998750320598057,1.008240424070279,0.8675049318472531,539.0755594348601,329.9731615248711,0.5501949317738791,0.625
combined_quarterly,M3,Quarterly,mlforecast,without_mstl,auto_xgb,500,1.1918018868125118,0.9455827803754985,1.1380807540717572,0.8940243646549032,576.1831966645536,365.48382568359375,0.5874756335282652,0.625
combined_quarterly,M4,Quarterly,neuralforecast,without_mstl,auto_lstm,500,1.1993219142929468,0.9851513540673114,1.0855437745683014,0.9130146746265112,660.9753000723932,295.15972900390625,0.584307992202729,0.625
combined_quarterly,M3,Quarterly,mlforecast,with_mstl,auto_lr,500,1.2201026360791385,0.8404465885479123,1.0718955165074986,0.8001073175513893,533.0347900709994,315.04369309753736,0.668859649122807,0.625
combined_quarterly,M4,Quarterly,baseline,without_mstl,seasonal_naive,500,1.2327046461247138,1.1515151515151516,1.0,1.0,619.3120993051516,306.625,0.5950292397660819,0.625
combined_quarterly,M3,Quarterly,baseline,without_mstl,seasonal_naive,500,1.2399029770379175,1.1250878425860857,1.0,1.0,599.1371452227438,391.57501220703125,0.6379142300194932,0.625
combined_quarterly,M3,Quarterly,statistical,with_mstl,auto_ets,500,1.24332784076216,0.890739027351875,1.0607438905219444,0.8605596097994174,566.0502687853248,344.3265990410539,0.6639863547758285,0.625
combined_quarterly,M3,Quarterly,mlforecast,with_mstl,auto_ridge,500,1.2521723334400936,0.8555443889047376,1.0917743308303103,0.8090862103946908,535.3381987604674,310.1532641041937,0.6686159844054581,0.625
combined_quarterly,M4,Quarterly,statistical,with_mstl,auto_sarima,500,1.297958298113814,0.9549752367299855,1.156380753060579,0.8743516580193111,590.4543062869845,254.46394634903334,0.6444931773879142,0.625
combined_quarterly,M3,Quarterly,statistical,with_mstl,auto_arima,500,1.304891764072548,0.902524969623164,1.1159912405266619,0.8347187488691814,569.0878593729229,352.9013658884139,0.6742202729044834,0.625
combined_quarterly,M3,Quarterly,statistical,without_mstl,auto_sarima,500,1.3153847678276294,0.980206050185219,1.1007865583913417,0.8708312584084041,575.0639193902874,336.8570222830175,0.5933235867446394,0.625
combined_quarterly,M3,Quarterly,statistical,without_mstl,auto_arima,500,1.3185561108541408,0.9999999999999983,1.2272583104026353,0.9389067524115792,597.6377255683974,376.0443573938401,0.49537037037037035,0.5
combined_quarterly,M4,Quarterly,mlforecast,without_mstl,auto_ridge,500,1.3200386007881764,0.9253052027097816,1.2445397294036393,0.8590191647846275,567.4075213723016,310.3103217453788,0.6225633528265108,0.625
combined_quarterly,M4,Quarterly,mlforecast,without_mstl,auto_lr,500,1.3205120677621494,0.9252901806673306,1.2449719171996654,0.8597565319668479,567.537950134392,310.54823119356365,0.621832358674464,0.625
combined_quarterly,M3,Quarterly,neuralforecast,without_mstl,auto_lstm,500,1.3492236665055584,0.9793185434080547,1.2050338976039754,0.9732289833838076,631.1772484732883,385.797119140625,0.604775828460039,0.625
combined_quarterly,M3,Quarterly,neuralforecast,with_mstl,auto_nhits,500,1.4010201562381297,0.9069170362335923,1.188167240221296,0.8809659017548133,610.3646017268809,348.85709666548104,0.6832358674463938,0.75
combined_quarterly,M3,Quarterly,neuralforecast,without_mstl,auto_nhits,500,1.4039498378629127,0.8949884442813123,1.1887792777150932,0.8956176939912801,617.3146883423566,338.27880859375,0.692495126705653,0.75
combined_quarterly,M3,Quarterly,transformer,without_mstl,auto_tft,500,1.458087522571414,0.9090423003802282,1.2571268040190242,0.9152763623951242,632.0898514983714,381.72613525390625,0.6342592592592593,0.625
combined_quarterly,M3,Quarterly,statistical,with_mstl,auto_sarima,500,1.473875177419987,0.8985856815186487,1.2212453604593336,0.8728651352393991,605.5650714775601,362.47415667551377,0.675682261208577,0.625
combined_quarterly,M3,Quarterly,neuralforecast,with_mstl,auto_lstm,500,1.4858615018784354,0.952909254331298,1.1588532274448726,0.9320522846723444,665.6414590417052,382.7384751165191,0.6522904483430799,0.625
combined_quarterly,M3,Quarterly,mlforecast,without_mstl,auto_ridge,500,1.6125250147515016,0.9462850031198952,1.4247786823697097,0.9520129069371,612.3017210695155,398.85947607310186,0.597953216374269,0.625
combined_quarterly,M3,Quarterly,mlforecast,without_mstl,auto_lr,500,1.615373859238217,0.9478261336120828,1.4271373553031605,0.9533519306971217,612.9918630496401,399.8417996633498,0.5974658869395711,0.625
